TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
313;0;2;79;2;3;REQ011
643;0;2;79;2;3;
977;1;2;79;2;0;REQ012
1305;0;2;81;3;3;REQ009REQ017REQ003
1564;1;0;80;2;0;REQ012REQ001
1869;0;1;80;2;1;REQ010
2097;1;1;80;2;0;REQ012
2364;0;0;81;0;0;REQ004
2679;0;1;79;2;1;REQ010REQ001
2917;0;1;81;1;1;REQ002
3197;1;0;80;2;0;REQ012REQ001
3451;1;0;80;2;0;
3682;0;0;81;0;0;REQ004
3932;1;1;81;0;0;REQ004REQ012
4268;1;1;81;0;0;
4507;1;2;81;3;3;REQ014REQ003
4845;1;0;80;2;0;REQ001REQ015
5125;0;0;80;2;0;
5421;1;2;81;0;0;REQ012REQ004
5674;0;2;79;2;3;REQ001REQ017
5944;0;0;79;2;3;
6282;1;1;81;0;0;REQ003REQ012REQ004
6610;0;2;79;2;3;REQ011REQ001
6897;1;1;81;0;0;REQ012REQ004
7230;0;1;79;2;1;REQ001REQ016
