TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
43;true;false;true;true;4;REQ005
82;true;false;false;false;4;REQ005
98;true;false;true;false;4;REQ005
119;false;true;false;true;5;REQ007
154;false;false;false;true;1;REQ002
193;false;false;true;false;2;REQ003
228;false;false;true;true;0;REQ001
241;true;true;true;true;0;
253;false;true;false;true;5;REQ007
290;true;false;true;true;4;REQ005
310;false;false;true;true;0;REQ001
344;false;false;true;false;2;REQ003
374;true;false;false;false;4;REQ005
419;true;true;false;true;4;REQ006
452;false;true;true;true;5;REQ007
503;false;true;true;true;5;REQ007
553;true;false;false;true;4;REQ005
576;true;false;true;true;4;REQ005
586;false;true;false;false;5;REQ007
626;true;false;false;false;4;REQ005
671;false;false;false;false;3;REQ004
692;false;false;true;false;2;REQ003
727;false;false;false;true;1;REQ002
767;true;true;false;false;1;
805;false;false;false;false;3;REQ004
