TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
329;0;1;79;2;1;REQ010
579;0;2;80;2;3;REQ011
850;1;2;80;2;0;REQ012
1096;0;1;79;2;1;REQ010
1345;0;1;80;2;1;
1632;0;2;79;2;3;REQ011
1890;0;1;81;1;1;REQ008REQ003REQ010REQ002
2205;0;2;81;3;3;REQ011REQ003
2477;1;0;79;2;0;REQ012REQ001
2785;1;2;81;3;3;REQ004REQ014REQ003
3080;1;0;79;2;0;REQ015REQ001
3350;1;1;80;2;1;REQ013
3578;1;2;81;3;3;REQ007REQ014REQ003
3888;1;0;80;2;0;REQ001REQ015
4223;0;2;79;2;3;REQ011
4444;1;2;81;0;0;REQ012REQ004
4764;0;0;81;0;0;REQ004
5061;0;1;81;1;1;REQ010REQ002
5340;0;2;79;2;3;REQ011REQ001
5592;1;0;80;2;0;REQ012
5835;0;2;81;3;3;REQ011REQ003
6166;0;1;80;2;1;REQ001REQ010
6404;0;1;80;2;1;
6643;1;1;81;0;0;REQ012REQ004
6945;1;2;80;2;3;REQ014REQ001
