TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;true;0;0;REQ001
4;false;false;0;0;
7;true;false;3;0;REQ002
9;false;false;3;0;
11;true;false;3;0;
13;true;true;3;0;
15;false;true;3;0;
17;false;true;1;1;REQ004
20;true;false;1;1;
22;true;false;1;1;
25;true;true;0;1;REQ001
28;true;false;0;1;
31;false;true;0;1;
34;true;false;0;1;
36;false;false;0;1;
38;true;false;3;1;REQ002
41;true;true;3;1;
44;true;true;3;1;
46;false;false;3;1;
49;false;true;0;1;REQ004REQ001
51;false;false;0;1;
54;false;true;0;1;
56;true;true;0;1;
58;false;false;0;1;
61;false;true;0;1;
63;true;false;0;1;
66;true;false;0;1;
69;true;true;0;1;
71;false;true;0;1;
73;true;false;0;1;
76;false;true;0;1;
79;false;false;0;1;
