TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
30;false;2;true;on ;low ;false;
56;false;2;true;on ;low ;false;
100;true;10;true;off ;high ;false;REQ001REQ002REQ011
112;true;0;true;on ;low ;false;REQ004REQ003REQ010
160;true;5;true;on ;low ;false;
187;false;8;true;on ;low ;false;
224;false;6;true;on ;low ;false;
258;false;11;false;off ;high ;false;REQ001REQ011REQ002
293;true;10;true;off ;high ;false;
310;false;0;false;on ;low ;false;REQ004REQ003REQ010
342;false;9;true;off ;permitted ;false;REQ001REQ011
372;false;6;false;on ;low ;false;REQ003REQ010
382;true;5;false;off ;low ;true;REQ005REQ009
411;false;0;true;on ;low ;false;REQ006REQ010
426;true;5;true;on ;low ;false;
476;true;2;false;on ;low ;false;
510;false;8;true;on ;low ;false;
555;false;9;true;off ;permitted ;false;REQ001REQ011
593;false;0;true;on ;low ;false;REQ003REQ010
626;true;11;true;off ;high ;false;REQ001REQ011REQ002
676;false;9;false;off ;permitted ;false;REQ004
700;true;1;true;on ;low ;false;REQ003REQ010
721;true;6;false;on ;low ;false;
748;false;8;false;on ;low ;false;
775;false;4;false;on ;low ;false;
789;true;5;true;on ;low ;false;
811;false;1;false;on ;low ;false;
858;true;9;false;off ;permitted ;true;REQ001REQ005REQ011
869;true;7;false;off ;low ;true;REQ003
900;true;0;false;off ;low ;true;
951;false;7;true;on ;low ;false;REQ006REQ010
990;true;1;false;off ;low ;true;REQ005REQ009
1008;false;2;true;on ;low ;false;REQ006REQ010
1042;true;4;false;off ;low ;true;REQ005REQ009
1078;true;7;true;on ;low ;false;REQ006REQ010
1098;true;0;true;on ;low ;false;
