TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
24;true;true;true;true;3;
73;false;false;false;false;3;REQ004
90;true;true;false;true;3;
103;true;false;false;true;4;REQ005
138;true;true;true;true;4;REQ006
179;true;true;false;true;4;
193;false;false;true;true;0;REQ001
222;true;false;false;true;4;REQ005
259;false;true;true;false;5;REQ007
288;true;true;false;false;5;REQ008
326;true;false;false;true;4;REQ005
336;false;true;true;false;5;REQ007
385;true;false;true;false;4;REQ005
407;true;true;false;false;4;REQ006
441;true;true;false;false;4;
459;true;false;false;false;4;REQ005
496;false;false;true;false;2;REQ003
509;true;false;false;false;4;REQ005
559;true;false;true;false;4;REQ005
580;false;false;true;false;2;REQ003
606;true;true;true;true;2;
648;true;true;true;true;2;
689;false;false;false;true;1;REQ002
731;true;false;false;false;4;REQ005
769;false;false;true;false;2;REQ003
