TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
39;true;true;false;false;3;
87;true;true;false;true;3;
123;true;true;true;true;3;
163;false;false;true;false;2;REQ003
195;false;false;true;false;2;REQ003
213;true;true;true;true;2;
234;true;false;true;false;4;REQ005
273;true;false;false;true;4;REQ005
316;false;false;true;false;2;REQ003
350;true;false;false;false;4;REQ005
379;true;false;false;false;4;REQ005
399;true;true;true;true;4;REQ006
424;true;false;true;true;4;REQ005
433;false;true;false;true;5;REQ007
445;false;true;false;true;5;REQ007
491;true;false;false;false;4;REQ005
540;true;false;true;true;4;REQ005
582;true;true;true;true;4;REQ006
593;true;false;false;false;4;REQ005
615;false;false;true;true;0;REQ001
632;false;false;true;false;2;REQ003
655;true;false;true;true;4;REQ005
668;true;true;true;true;4;REQ006
705;false;false;true;false;2;REQ003
750;false;false;false;true;1;REQ002
