TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
334;0;1;79;2;1;REQ010
629;0;0;81;1;1;REQ002
934;1;2;81;0;0;REQ012REQ004
1193;0;0;81;0;0;REQ004
1489;1;2;80;2;0;REQ012REQ001
1744;1;2;81;0;0;REQ009REQ004
1994;1;0;81;0;0;
2333;0;1;79;2;1;REQ010REQ001
2553;0;1;81;1;1;REQ002
2804;0;1;79;2;1;REQ001
3073;1;0;80;2;0;REQ012
3412;0;2;80;2;3;REQ011
3636;1;2;81;0;0;REQ003REQ012REQ004
3960;1;2;81;0;0;REQ004
4196;1;2;80;2;0;REQ001
4429;0;2;79;2;3;REQ017
4739;0;2;79;2;3;
5046;1;1;79;2;0;REQ012
5293;1;2;81;3;3;REQ009REQ004REQ014REQ003
5606;0;0;80;2;3;REQ001
5830;0;0;80;2;3;
6053;1;1;80;2;0;REQ012
6377;0;0;80;2;0;
6637;1;2;80;2;0;REQ012
6976;0;1;80;2;1;REQ010
