TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
261;0;2;81;3;3;REQ005REQ011REQ003
509;0;0;81;3;3;REQ003
759;0;1;80;2;1;REQ010REQ001
1092;0;2;81;3;3;REQ002REQ011REQ003
1420;1;1;80;2;0;REQ012REQ001
1671;1;1;79;2;0;
1998;0;0;79;2;0;
2291;1;0;79;2;0;REQ012
2591;0;1;80;2;1;REQ010
2841;1;1;80;2;0;REQ012
3128;0;2;81;3;3;REQ004REQ011REQ003
3349;1;2;81;0;0;REQ003REQ012REQ004
3641;0;2;81;3;3;REQ017REQ003
3877;0;1;79;2;1;REQ010REQ001
4168;0;2;79;2;3;REQ011
4417;1;0;81;0;0;REQ003REQ012REQ004
4639;0;2;80;2;3;REQ011REQ001
4966;0;2;80;2;3;
5224;1;1;81;0;0;REQ003REQ012REQ004
5550;0;2;81;3;3;REQ011REQ003
5819;0;1;80;2;1;REQ001REQ010
6052;1;2;81;0;0;REQ007REQ002REQ012REQ004
6356;0;1;81;1;1;REQ010REQ002
6682;1;0;80;2;0;REQ001REQ012
6952;0;1;81;1;1;REQ009REQ010REQ002
