TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
335;1;2;81;0;0;REQ005REQ012REQ004
566;1;0;80;2;0;REQ001
845;1;1;81;1;1;REQ013REQ002
1178;1;2;80;2;3;REQ001REQ014
1416;1;2;79;2;3;
1714;1;0;81;0;0;REQ003REQ015REQ004
2017;0;2;79;2;3;REQ011REQ001
2346;0;2;80;2;3;
2609;1;2;80;2;0;REQ012
2880;0;0;80;2;0;
3212;1;0;79;2;0;REQ012
3476;0;0;80;2;0;
3707;1;1;81;0;0;REQ012REQ004
4046;1;1;79;2;0;REQ001
4373;0;0;80;2;0;
4618;1;2;79;2;0;REQ012
4846;1;0;81;0;0;REQ004
5087;1;2;79;2;3;REQ014REQ001
5410;0;2;79;2;3;
5734;1;1;79;2;0;REQ012
5976;0;1;80;2;1;REQ016
6311;0;2;81;3;3;REQ007REQ011REQ003
6544;1;0;81;0;0;REQ012REQ004
6856;1;0;79;2;0;REQ001
7172;1;2;79;2;3;REQ014
