TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;false;1;0;
5;false;false;1;0;
8;false;false;1;0;
10;false;false;1;0;
13;true;false;1;0;
15;false;false;1;0;
17;false;false;1;0;
19;false;true;0;0;REQ001
21;false;false;0;0;
23;true;false;3;0;REQ002
25;true;false;3;0;
27;true;true;3;0;
30;false;true;3;0;
33;false;true;1;1;REQ004
35;false;false;1;1;
37;false;true;0;1;REQ001
39;true;true;0;1;
42;true;false;0;1;
45;true;false;0;1;
48;true;false;0;1;
51;true;false;0;1;
53;false;false;0;1;
56;true;false;3;1;REQ002
58;true;false;3;1;
61;false;false;3;1;
63;true;true;3;1;
65;true;false;3;1;
67;true;false;1;1;REQ004
69;false;true;0;1;REQ001
72;true;false;0;1;
74;false;false;0;1;
76;false;false;0;1;
