TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
45;true;true;true;true;3;
59;false;false;true;true;0;REQ001
93;true;true;true;true;0;
140;true;false;false;true;4;REQ005
175;false;true;false;false;5;REQ007
201;true;true;true;true;5;REQ008
226;true;false;false;true;4;REQ005
275;false;true;true;false;5;REQ007
311;true;true;true;false;5;REQ008
349;false;false;false;false;3;REQ004
386;false;true;true;true;5;REQ007
401;true;false;false;true;4;REQ005
423;false;false;true;true;0;REQ001
437;false;false;true;false;2;REQ003
485;false;false;false;false;3;REQ004
507;true;true;false;true;3;
516;false;true;false;false;5;REQ007
563;false;true;false;true;5;REQ007
590;false;true;false;true;5;REQ007
624;false;true;false;true;5;REQ007
644;true;false;false;false;4;REQ005
661;true;true;true;false;4;REQ006
704;true;false;true;false;4;REQ005
723;true;false;true;false;4;REQ005
746;true;false;false;false;4;REQ005
