TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
233;1;0;79;2;0;REQ012
525;1;2;80;2;3;REQ014
850;0;1;81;1;1;REQ008REQ010REQ002
1126;1;1;80;2;0;REQ012REQ001
1396;1;2;81;3;3;REQ009REQ004REQ014REQ003
1709;0;0;79;2;3;REQ001
1952;1;2;80;2;0;REQ012
2215;1;1;81;1;1;REQ004REQ013REQ002
2489;1;0;80;2;0;REQ001REQ015
2783;0;1;81;1;1;REQ004REQ010REQ002
3114;1;1;81;0;0;REQ012REQ004
3337;0;1;79;2;1;REQ001REQ016
3570;0;0;81;1;1;REQ002
3861;1;2;80;2;0;REQ001REQ012
4102;0;0;81;0;0;REQ004
4441;1;2;80;2;0;REQ001REQ012
4734;0;2;79;2;3;REQ017
5044;0;1;81;1;1;REQ008REQ003REQ010REQ002
5355;1;0;79;2;0;REQ001REQ012
5646;1;1;81;1;1;REQ004REQ013REQ002
5886;0;0;81;1;1;REQ002
6140;0;1;81;1;1;REQ002REQ010
6397;0;2;79;2;3;REQ011REQ001
6659;0;1;80;2;1;REQ010
6959;0;2;79;2;3;REQ011
