TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
260;1;1;79;2;0;REQ012
537;1;0;79;2;0;
850;1;0;79;2;0;
1177;1;2;80;2;3;REQ014
1494;0;1;79;2;1;REQ010
1780;0;0;81;1;1;REQ007REQ002
2001;0;1;81;1;1;REQ010
2252;1;0;81;0;0;REQ012REQ004
2505;1;1;79;2;1;REQ013REQ001
2755;0;0;79;2;1;
2991;1;2;81;0;0;REQ002REQ012REQ004
3222;1;2;80;2;0;REQ001
3551;0;1;80;2;1;REQ010
3833;0;0;80;2;1;
4139;0;1;79;2;1;REQ010
4397;0;2;80;2;3;REQ011
4662;1;2;80;2;0;REQ012
4936;1;1;81;1;1;REQ009REQ013REQ002
5183;1;0;81;0;0;REQ002REQ015REQ004
5469;0;2;80;2;3;REQ011REQ001
5716;1;2;81;0;0;REQ003REQ012REQ004
6040;0;0;80;2;0;REQ001
6363;1;1;81;0;0;REQ009REQ004REQ012
6584;1;2;80;2;3;REQ014REQ001
6917;1;1;81;1;1;REQ013REQ002
