TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
322;0;0;81;2;2;REQ005
584;1;2;80;2;0;REQ001REQ012
814;1;2;81;0;0;REQ009REQ004
1149;0;0;80;2;0;REQ001
1395;0;0;80;2;0;
1688;1;2;80;2;0;REQ012
1973;1;1;80;2;1;REQ013
2236;0;0;80;2;1;
2484;1;0;79;2;0;REQ012
2735;1;2;79;2;3;REQ014
3049;1;0;79;2;0;REQ015
3310;0;1;80;2;1;REQ010
3634;1;1;79;2;0;REQ012
3897;0;0;80;2;0;
4228;0;1;79;2;1;REQ010
4522;0;0;80;2;1;
4842;1;1;80;2;0;REQ012
5063;1;2;79;2;3;REQ014
5392;0;1;79;2;1;REQ010
5726;0;0;81;1;1;REQ002
6053;0;2;81;3;3;REQ011REQ003
6373;1;2;80;2;0;REQ001REQ012
6683;0;1;79;2;1;REQ010
6909;0;2;81;3;3;REQ007REQ011REQ003
7196;0;1;80;2;1;REQ001REQ010
