TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
21;false;4;true;on ;low ;false;
44;true;1;false;off ;low ;true;REQ005REQ009
56;true;7;true;on ;low ;false;REQ006REQ010
80;true;10;false;off ;high ;false;REQ001REQ011REQ002
92;false;0;false;on ;low ;false;REQ004REQ003REQ010
105;false;10;true;off ;high ;false;REQ001REQ011REQ002
129;false;4;false;on ;low ;false;REQ004REQ003REQ010
172;false;2;true;on ;low ;false;
213;false;0;true;on ;low ;false;
234;false;9;false;off ;permitted ;false;REQ001REQ011
281;false;9;false;off ;permitted ;false;
310;true;4;false;off ;low ;true;REQ003REQ010REQ005REQ009
353;true;0;false;off ;low ;true;
395;true;11;true;off ;high ;false;REQ001REQ006REQ002
417;false;8;false;on ;low ;false;REQ004REQ003REQ010
443;false;5;false;on ;low ;false;
459;true;8;true;on ;low ;false;
504;true;0;true;on ;low ;false;
541;false;8;true;on ;low ;false;
554;true;2;false;off ;low ;true;REQ005REQ009
587;true;4;true;on ;low ;false;REQ006REQ010
629;true;1;false;on ;low ;false;
641;false;5;false;on ;low ;false;
651;true;10;true;off ;high ;false;REQ001REQ011REQ002
677;true;2;true;on ;low ;false;REQ004REQ003REQ010
703;true;2;false;on ;low ;false;
719;false;3;false;on ;low ;false;
746;true;3;true;on ;low ;false;
761;false;2;false;on ;low ;false;
790;true;5;true;on ;low ;false;
836;false;4;false;on ;low ;false;
866;false;2;false;on ;low ;false;
888;false;1;true;on ;low ;false;
932;false;7;true;on ;low ;false;
948;true;8;true;on ;low ;false;
961;false;6;true;on ;low ;false;
