TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
45;false;true;true;true;5;REQ007
77;true;true;true;false;5;REQ008
123;false;false;true;true;0;REQ001
137;true;true;false;false;0;
154;true;false;false;true;4;REQ005
173;true;false;true;false;4;REQ005
205;true;false;true;true;4;REQ005
239;false;true;false;false;5;REQ007
259;false;false;false;true;1;REQ002
272;true;false;false;true;4;REQ005
305;false;true;false;false;5;REQ007
340;true;true;true;false;5;REQ008
384;true;false;true;false;4;REQ005
394;false;true;false;false;5;REQ007
434;false;true;false;true;5;REQ007
447;true;false;false;true;4;REQ005
462;true;false;false;true;4;REQ005
502;true;true;true;false;4;REQ006
533;false;true;true;true;5;REQ007
573;true;false;false;false;4;REQ005
612;true;true;false;false;4;REQ006
641;false;false;true;true;0;REQ001
690;false;true;true;true;5;REQ007
728;true;true;true;false;5;REQ008
775;true;false;false;false;4;REQ005
