TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
324;0;1;80;2;1;REQ010
587;0;1;81;1;1;REQ002
884;0;1;79;2;1;REQ001
1210;0;1;81;1;1;REQ002
1530;1;0;79;2;0;REQ012REQ001
1867;1;1;81;1;1;REQ004REQ013REQ002
2146;1;0;79;2;0;REQ015REQ001
2382;1;2;79;2;3;REQ014
2605;1;0;81;0;0;REQ015REQ004
2898;1;2;81;3;3;REQ004REQ014REQ003
3152;0;0;79;2;3;REQ001
3432;0;1;80;2;1;REQ010
3693;0;1;81;1;1;REQ007REQ002
4000;1;2;79;2;0;REQ001REQ012
4274;1;2;79;2;0;
4493;1;2;80;2;0;
4783;1;0;81;0;0;REQ009REQ004
5025;0;1;80;2;1;REQ010REQ001
5268;1;0;81;0;0;REQ012REQ004
5588;0;1;80;2;1;REQ010REQ001
5916;0;0;81;1;1;REQ002
6255;1;0;80;2;0;REQ012REQ001
6503;1;2;80;2;3;REQ014
6759;1;0;79;2;0;REQ015
6978;0;1;81;1;1;REQ004REQ010REQ002
