TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
231;0;1;80;2;1;REQ010
515;1;1;80;2;0;REQ012
808;0;2;79;2;3;REQ011
1045;0;1;81;1;1;REQ003REQ010REQ002
1307;0;0;80;2;1;REQ001
1591;1;0;81;0;0;REQ012REQ004
1913;0;1;80;2;1;REQ001REQ010
2217;1;2;81;0;0;REQ007REQ002REQ012REQ004
2527;0;2;81;3;3;REQ004REQ017REQ003
2858;0;1;80;2;1;REQ010REQ001
3160;1;1;81;0;0;REQ007REQ012REQ004
3381;1;0;81;0;0;REQ004
3650;1;2;79;2;3;REQ001REQ014
3970;0;0;79;2;3;
4264;0;2;81;3;3;REQ003REQ011
4507;1;0;81;0;0;REQ012REQ004
4742;1;1;80;2;1;REQ001REQ013
4991;0;0;79;2;1;
5299;1;1;81;0;0;REQ012REQ004
5584;0;1;80;2;1;REQ001REQ016
5824;1;0;79;2;0;REQ012
6115;0;2;81;3;3;REQ011REQ003
6409;0;1;80;2;1;REQ010REQ001
6667;0;0;81;1;1;REQ002
6974;1;1;80;2;0;REQ012REQ001
