TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
30;true;10;true;off ;high ;false;REQ001REQ002REQ011
54;false;4;true;on ;low ;false;REQ004REQ003REQ010
63;false;8;false;on ;low ;false;
99;true;9;false;off ;permitted ;true;REQ001REQ011REQ005
139;true;7;true;on ;low ;false;REQ006REQ003REQ010
166;false;2;false;on ;low ;false;
200;true;1;true;on ;low ;false;
236;true;11;false;off ;high ;false;REQ001REQ011REQ002
268;true;6;false;on ;low ;false;REQ004REQ003REQ010
297;false;2;false;on ;low ;false;
318;true;8;false;off ;low ;true;REQ005REQ009
331;false;0;false;off ;low ;true;
361;true;7;true;on ;low ;false;REQ006REQ010
390;false;4;false;on ;low ;false;
409;false;3;false;on ;low ;false;
456;false;3;true;on ;low ;false;
495;true;10;false;off ;high ;false;REQ001REQ002REQ011
508;true;0;true;on ;low ;false;REQ004REQ003REQ010
541;true;4;true;on ;low ;false;
562;false;5;true;on ;low ;false;
572;true;0;false;off ;low ;true;REQ005REQ009
608;true;1;true;on ;low ;false;REQ006REQ010
634;false;8;false;on ;low ;false;
682;true;9;false;off ;permitted ;true;REQ001REQ011REQ005
694;false;11;true;off ;high ;false;REQ002REQ008
741;true;5;false;off ;low ;true;REQ004REQ005REQ003
759;false;1;false;off ;low ;true;
799;false;8;true;on ;low ;false;REQ006REQ010
838;true;4;false;off ;low ;true;REQ005REQ009
884;true;4;true;on ;low ;false;REQ006REQ010
927;false;3;false;on ;low ;false;
941;false;2;false;on ;low ;false;
954;false;5;true;on ;low ;false;
968;true;10;false;off ;high ;false;REQ001REQ002REQ011
984;true;6;false;on ;low ;false;REQ004REQ003REQ010
1018;false;4;false;on ;low ;false;
