TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
14;false;true;true;true;5;REQ007
59;false;true;false;true;5;REQ007
84;false;true;true;false;5;REQ007
99;true;true;false;true;5;REQ008
114;false;false;false;false;3;REQ004
157;false;true;true;false;5;REQ007
173;true;true;false;false;5;REQ008
208;false;true;false;false;5;REQ007
219;true;false;false;false;4;REQ005
242;true;true;false;true;4;REQ006
292;false;false;true;true;0;REQ001
337;false;true;false;true;5;REQ007
366;true;false;false;false;4;REQ005
405;false;false;true;false;2;REQ003
446;true;true;true;false;2;
483;false;true;false;true;5;REQ007
508;false;false;true;true;0;REQ001
524;true;false;true;true;4;REQ005
572;true;false;false;false;4;REQ005
597;true;false;true;true;4;REQ005
635;true;false;true;false;4;REQ005
662;false;true;false;false;5;REQ007
679;false;false;true;false;2;REQ003
715;false;true;false;false;5;REQ007
752;true;false;true;false;4;REQ005
