TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
42;true;6;true;on ;low ;false;
59;false;1;true;on ;low ;false;
88;false;1;true;on ;low ;false;
121;true;4;true;on ;low ;false;
168;true;8;false;on ;low ;false;
197;false;6;false;on ;low ;false;
224;false;2;true;on ;low ;false;
269;true;9;true;off ;permitted ;false;REQ001REQ011
281;false;9;true;off ;permitted ;false;
302;true;6;true;on ;low ;false;REQ003REQ010
318;true;4;true;on ;low ;false;
360;true;10;false;off ;high ;false;REQ001REQ011REQ002
374;false;3;false;on ;low ;false;REQ004REQ003REQ010
419;true;1;false;off ;low ;true;REQ005REQ009
454;false;6;true;on ;low ;false;REQ006REQ010
471;false;2;false;on ;low ;false;
490;true;5;false;off ;low ;true;REQ005REQ009
535;false;9;true;off ;permitted ;false;REQ006REQ010REQ001REQ011
585;false;1;false;on ;low ;false;REQ003REQ010
622;false;11;true;off ;high ;false;REQ001REQ002REQ011
670;true;6;false;off ;low ;true;REQ004REQ005REQ003
702;false;2;true;on ;low ;false;REQ006REQ010
748;false;0;false;on ;low ;false;
784;false;9;false;off ;permitted ;false;REQ001REQ011
793;false;7;true;on ;low ;false;REQ003REQ010
820;false;5;true;on ;low ;false;
841;false;6;false;on ;low ;false;
858;true;2;false;off ;low ;true;REQ005REQ009
870;false;8;true;on ;low ;false;REQ006REQ010
900;false;0;false;on ;low ;false;
919;true;5;true;on ;low ;false;
967;false;1;false;on ;low ;false;
987;true;6;true;on ;low ;false;
1037;true;7;false;on ;low ;false;
1063;false;2;false;on ;low ;false;
1081;false;1;false;on ;low ;false;
