TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
322;1;0;81;0;0;REQ005REQ012REQ004
636;1;0;81;0;0;REQ004
961;0;0;79;2;0;REQ001
1244;1;1;81;0;0;REQ009REQ012REQ004
1580;0;0;80;2;0;REQ001
1909;1;0;81;0;0;REQ004REQ012
2236;0;2;81;3;3;REQ011REQ003
2527;0;2;79;2;3;REQ001
2780;1;2;80;2;0;REQ012
3091;1;0;79;2;0;
3326;1;0;80;2;0;
3557;1;1;79;2;1;REQ013
3816;1;0;80;2;0;REQ015
4075;0;0;79;2;0;
4325;1;1;79;2;0;REQ012
4556;0;1;81;1;1;REQ004REQ016REQ002
4843;0;1;79;2;1;REQ001
5083;0;1;80;2;1;
5360;0;2;81;3;3;REQ007REQ011REQ003
5651;1;2;80;2;0;REQ001REQ012
5988;1;2;79;2;0;
6273;0;2;80;2;3;REQ017
6606;0;1;81;1;1;REQ010REQ002
6854;1;0;80;2;0;REQ001REQ012
7189;0;1;80;2;1;REQ010
