TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
46;false;true;false;false;5;REQ007
81;false;true;true;false;5;REQ007
96;true;true;true;false;5;REQ008
141;true;false;false;false;4;REQ005
168;true;true;false;true;4;REQ006
193;true;false;true;false;4;REQ005
235;true;false;false;true;4;REQ005
254;true;false;true;false;4;REQ005
298;true;true;true;false;4;REQ006
331;true;true;false;false;4;
366;false;false;true;true;0;REQ001
414;true;false;true;true;4;REQ005
453;true;true;true;false;4;REQ006
475;false;true;true;false;5;REQ007
505;false;true;false;true;5;REQ007
543;false;false;false;false;3;REQ004
585;false;true;false;true;5;REQ007
596;false;false;false;false;3;REQ004
627;true;true;false;false;3;
642;true;true;true;false;3;
687;true;true;true;true;3;
729;false;true;true;true;5;REQ007
769;true;false;false;false;4;REQ005
781;false;true;false;true;5;REQ007
809;true;false;true;true;4;REQ005
