TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
297;1;0;80;2;0;REQ012
619;1;2;80;2;3;REQ014
841;1;0;81;0;0;REQ008REQ015REQ004
1072;0;2;79;2;3;REQ001REQ011
1393;1;1;80;2;0;REQ012
1693;0;2;80;2;3;REQ011
1990;1;1;80;2;0;REQ012
2260;0;2;81;3;3;REQ004REQ011REQ003
2526;0;2;80;2;3;REQ001
2839;0;2;79;2;3;
3175;0;2;80;2;3;
3449;0;1;81;1;1;REQ003REQ010REQ002
3746;0;0;80;2;1;REQ001
4085;0;1;81;1;1;REQ002REQ010
4383;1;2;80;2;0;REQ001REQ012
4702;0;0;79;2;0;
4963;0;0;79;2;0;
5209;0;0;79;2;0;
5515;1;2;81;0;0;REQ009REQ004REQ012
5850;0;2;80;2;3;REQ001REQ017
6121;1;0;79;2;0;REQ012
6444;0;1;80;2;1;REQ010
6776;1;2;80;2;0;REQ012
7027;0;1;81;1;1;REQ009REQ004REQ010REQ002
7260;0;0;79;2;1;REQ001
