TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
227;0;2;79;2;3;REQ011
488;1;1;80;2;0;REQ012
710;1;1;79;2;0;
1027;1;2;81;3;3;REQ014REQ003
1274;1;2;81;3;3;REQ003
1604;0;0;81;3;3;REQ003
1923;0;2;79;2;3;REQ001REQ011
2161;0;0;79;2;3;
2402;0;1;79;2;1;REQ010
2632;0;2;79;2;3;REQ011
2922;0;0;80;2;3;
3200;1;2;81;0;0;REQ008REQ003REQ012REQ004
3468;1;2;79;2;0;REQ001
3772;1;0;79;2;0;
4006;0;1;80;2;1;REQ010
4308;0;1;80;2;1;
4616;0;2;80;2;3;REQ011
4841;0;0;81;3;3;REQ003
5103;1;0;80;2;0;REQ012REQ001
5426;1;1;80;2;1;REQ013
5730;1;0;81;0;0;REQ007REQ015REQ004
6061;1;0;80;2;0;REQ001
6387;1;2;81;3;3;REQ014REQ003
6652;1;2;79;2;3;REQ001
6978;1;0;81;0;0;REQ015REQ004
