TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
39;false;10;true;off ;high ;false;REQ001REQ011REQ002
50;false;4;true;on ;low ;false;REQ004REQ003REQ010
80;false;4;true;on ;low ;false;
101;true;1;true;on ;low ;false;
124;false;3;true;on ;low ;false;
168;true;2;false;off ;low ;true;REQ005REQ009
204;true;11;true;off ;high ;false;REQ006REQ001REQ002
231;true;10;false;off ;high ;false;
255;false;7;true;on ;low ;false;REQ004REQ003REQ010
269;false;8;true;on ;low ;false;
290;true;3;false;off ;low ;true;REQ005REQ009
312;false;0;false;off ;low ;true;
338;true;6;false;off ;low ;true;
362;false;1;false;off ;low ;true;
403;true;7;false;off ;low ;true;
435;false;10;true;off ;high ;false;REQ006REQ010REQ001REQ002REQ011
482;false;7;true;on ;low ;false;REQ004REQ003REQ010
525;false;9;true;off ;permitted ;false;REQ001REQ011
570;false;11;false;off ;high ;false;REQ002
608;true;6;true;on ;low ;false;REQ004REQ003REQ010
639;true;8;true;on ;low ;false;
685;false;6;true;on ;low ;false;
701;false;1;true;on ;low ;false;
713;false;6;true;on ;low ;false;
747;false;9;true;off ;permitted ;false;REQ001REQ011
770;true;9;true;off ;permitted ;false;
817;true;11;false;off ;high ;false;REQ002
865;true;10;false;off ;high ;false;
915;false;0;true;on ;low ;false;REQ004REQ003REQ010
960;false;9;true;off ;permitted ;false;REQ001REQ011
994;false;0;false;on ;low ;false;REQ003REQ010
1044;true;0;false;off ;low ;true;REQ005REQ009
1078;false;3;false;off ;low ;true;
1112;true;10;false;off ;high ;false;REQ001REQ002REQ007
1123;false;8;false;on ;low ;false;REQ004REQ003REQ010
1162;true;5;false;off ;low ;true;REQ005REQ009
