TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
264;0;2;81;3;3;REQ005REQ011REQ003
491;0;0;80;2;3;REQ001
721;1;1;81;0;0;REQ003REQ012REQ004
1056;0;2;79;2;3;REQ011REQ001
1304;1;0;79;2;0;REQ012
1620;1;2;81;3;3;REQ004REQ014REQ003
1960;1;0;80;2;0;REQ001REQ015
2280;0;2;81;3;3;REQ004REQ011REQ003
2542;0;2;80;2;3;REQ001
2822;0;0;79;2;3;
3046;1;1;81;0;0;REQ003REQ012REQ004
3290;0;1;81;1;1;REQ004REQ016REQ002
3584;1;2;81;0;0;REQ002REQ012REQ004
3854;0;0;80;2;0;REQ001
4187;0;2;80;2;3;REQ011
4411;0;0;79;2;3;
4735;1;1;80;2;0;REQ012
4971;0;2;79;2;3;REQ011
5301;0;2;81;3;3;REQ008REQ003
5595;1;0;79;2;0;REQ001REQ012
5874;0;1;79;2;1;REQ010
6210;0;0;79;2;1;
6541;1;2;80;2;0;REQ012
6815;1;1;80;2;1;REQ013
7096;1;2;80;2;3;REQ014
