TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
253;0;2;80;2;3;REQ011
539;0;1;79;2;1;REQ010
842;1;1;80;2;0;REQ012
1084;0;0;79;2;0;
1376;1;1;81;0;0;REQ009REQ004REQ012
1684;1;1;79;2;0;REQ001
1986;0;2;80;2;3;REQ011
2303;0;0;79;2;3;
2528;0;1;81;1;1;REQ008REQ010REQ002
2821;1;1;80;2;0;REQ012REQ001
3158;0;1;79;2;1;REQ016
3409;1;1;81;0;0;REQ002REQ012REQ004
3689;1;0;80;2;0;REQ001
3963;1;0;80;2;0;
4297;1;2;80;2;3;REQ014
4627;1;2;80;2;3;
4859;0;0;81;3;3;REQ008REQ003
5177;0;2;80;2;3;REQ011REQ001
5504;0;1;79;2;1;REQ010
5776;0;1;79;2;1;
5997;0;0;80;2;1;
6301;1;0;80;2;0;REQ012
6586;0;2;80;2;3;REQ011
6883;0;1;80;2;1;REQ010
7103;1;0;80;2;0;REQ012
