TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
251;1;0;79;2;0;REQ012
539;1;2;80;2;3;REQ014
822;1;0;80;2;0;REQ015
1124;0;1;81;1;1;REQ004REQ010REQ002
1396;0;1;79;2;1;REQ001
1626;0;0;79;2;1;
1965;1;2;79;2;0;REQ012
2189;0;1;79;2;1;REQ010
2511;1;2;79;2;0;REQ012
2849;1;1;80;2;1;REQ013
3096;0;1;80;2;1;
3388;1;1;80;2;0;REQ012
3666;1;0;79;2;0;
3980;0;2;81;3;3;REQ011REQ003
4242;1;0;80;2;0;REQ012REQ001
4544;0;0;81;0;0;REQ004
4820;1;2;81;0;0;REQ012
5077;1;0;80;2;0;REQ001
5306;1;1;80;2;1;REQ013
5526;1;0;81;0;0;REQ002REQ015REQ004
5759;1;1;79;2;1;REQ013REQ001
6019;1;2;79;2;3;REQ014
6287;1;2;80;2;3;
6617;1;0;80;2;0;REQ015
6870;0;0;79;2;0;
