TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
274;1;1;81;0;0;REQ012REQ004
588;1;1;80;2;0;REQ001
876;0;0;81;0;0;REQ004
1192;0;0;81;0;0;REQ004
1446;1;2;81;0;0;REQ012
1754;0;0;80;2;0;REQ001
2024;1;0;80;2;0;REQ012
2246;1;0;81;0;0;REQ004
2498;1;2;79;2;3;REQ001REQ014
2723;0;2;80;2;3;
2992;0;0;80;2;3;
3312;0;1;80;2;1;REQ010
3585;0;1;80;2;1;
3914;1;0;81;0;0;REQ007REQ002REQ012REQ004
4144;1;2;79;2;3;REQ014REQ001
4414;0;1;79;2;1;REQ010
4685;1;2;79;2;0;REQ012
4966;0;1;81;1;1;REQ004REQ010REQ002
5229;0;1;79;2;1;REQ001
5539;1;1;80;2;0;REQ012
5795;0;1;81;1;1;REQ016REQ002
6051;0;2;80;2;3;REQ011REQ001
6330;1;1;79;2;0;REQ012
6585;0;0;81;0;0;REQ009REQ004
6843;0;2;81;3;3;REQ004REQ011REQ003
