TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
325;1;0;80;2;0;REQ012
555;0;2;79;2;3;REQ011
779;1;1;81;0;0;REQ003REQ012REQ004
1006;1;2;81;3;3;REQ004REQ014REQ003
1258;1;1;79;2;1;REQ013REQ001
1511;1;0;81;0;0;REQ015REQ004
1779;1;1;81;1;1;REQ013REQ002
2024;0;2;80;2;3;REQ011REQ001
2322;0;1;81;1;1;REQ003REQ010REQ002
2559;1;1;81;0;0;REQ012REQ004
2820;0;1;80;2;1;REQ001REQ016
3160;1;0;80;2;0;REQ012
3441;0;1;80;2;1;REQ010
3720;1;0;80;2;0;REQ012
3953;0;0;81;0;0;REQ004
4180;0;1;79;2;1;REQ010REQ001
4423;0;2;79;2;3;REQ011
4727;0;0;80;2;3;
5058;1;0;80;2;0;REQ012
5340;0;1;79;2;1;REQ010
5612;1;1;79;2;0;REQ012
5910;1;0;79;2;0;
6209;0;0;79;2;0;
6463;1;0;80;2;0;REQ012
6690;0;0;81;0;0;REQ004
