TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
17;false;true;true;false;5;REQ007
43;true;true;false;false;5;REQ008
87;false;false;false;true;1;REQ002
107;false;false;false;false;3;REQ004
132;false;true;true;true;5;REQ007
180;true;false;true;true;4;REQ005
210;true;false;true;true;4;REQ005
230;false;false;false;false;3;REQ004
249;false;true;true;true;5;REQ007
265;true;true;true;true;5;REQ008
285;true;true;true;false;5;
310;false;false;true;true;0;REQ001
320;true;true;true;true;0;
335;true;false;false;true;4;REQ005
384;false;false;false;false;3;REQ004
434;false;false;true;true;0;REQ001
452;true;true;true;true;0;
473;true;false;false;true;4;REQ005
486;true;true;false;false;4;REQ006
517;true;false;false;false;4;REQ005
541;false;false;false;false;3;REQ004
580;false;true;false;false;5;REQ007
616;false;false;true;true;0;REQ001
660;true;true;false;false;0;
677;true;true;false;true;0;
