TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
252;0;1;79;2;1;REQ010
523;1;2;79;2;0;REQ012
760;1;0;79;2;0;
1045;0;2;81;3;3;REQ004REQ011REQ003
1313;1;1;80;2;0;REQ012REQ001
1537;1;0;81;0;0;REQ009REQ004
1872;1;1;80;2;1;REQ001REQ013
2102;1;0;80;2;0;REQ015
2391;1;0;81;0;0;REQ004
2704;1;0;81;0;0;REQ004
2972;1;1;79;2;1;REQ001REQ013
3280;1;2;79;2;3;REQ014
3512;1;0;81;0;0;REQ003REQ015REQ004
3743;0;2;81;3;3;REQ004REQ011REQ003
3969;1;1;79;2;0;REQ001REQ012
4205;0;1;80;2;1;REQ016
4506;0;2;80;2;3;REQ011
4754;0;2;81;3;3;REQ003
5080;0;1;80;2;1;REQ001REQ010
5321;1;0;80;2;0;REQ012
5647;0;2;79;2;3;REQ011
5921;0;2;79;2;3;
6257;0;0;80;2;3;
6480;1;1;80;2;0;REQ012
6761;0;1;80;2;1;REQ016
