TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
233;0;1;81;1;1;REQ010REQ002
458;0;2;79;2;3;REQ011REQ001
791;0;2;79;2;3;
1115;0;1;80;2;1;REQ010
1456;0;1;79;2;1;
1794;0;2;80;2;3;REQ011
2046;1;2;79;2;0;REQ012
2275;1;2;80;2;0;
2544;1;2;80;2;0;
2872;0;2;80;2;3;REQ017
3207;1;0;79;2;0;REQ012
3451;0;2;79;2;3;REQ011
3776;0;2;79;2;3;
4037;1;2;79;2;0;REQ012
4320;0;0;79;2;0;
4627;1;2;79;2;0;REQ012
4874;1;1;80;2;1;REQ013
5158;0;0;79;2;1;
5424;0;0;81;1;1;REQ007REQ002
5691;0;1;81;1;1;REQ010
5949;0;1;81;1;1;
6267;1;1;79;2;0;REQ012REQ001
6511;1;2;79;2;3;REQ014
6744;0;2;81;3;3;REQ003
7080;0;2;81;3;3;REQ003
