TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
22;false;true;true;true;5;REQ007
70;true;true;false;true;5;REQ008
93;false;false;false;false;3;REQ004
107;false;false;true;false;2;REQ003
123;false;false;false;false;3;REQ004
143;false;true;false;true;5;REQ007
167;false;true;false;true;5;REQ007
199;false;true;false;true;5;REQ007
233;true;false;true;false;4;REQ005
279;false;false;true;false;2;REQ003
297;true;true;true;false;2;
320;true;false;false;true;4;REQ005
367;false;true;true;true;5;REQ007
393;false;true;false;true;5;REQ007
437;true;false;true;false;4;REQ005
470;false;false;true;false;2;REQ003
512;true;true;false;true;2;
523;false;false;false;true;1;REQ002
539;false;true;true;false;5;REQ007
583;false;true;true;true;5;REQ007
633;true;true;true;false;5;REQ008
679;false;false;true;false;2;REQ003
720;false;true;false;true;5;REQ007
759;true;false;false;false;4;REQ005
785;true;false;true;true;4;REQ005
