TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
49;false;true;false;false;5;REQ007
99;true;false;false;true;4;REQ005
129;true;true;false;false;4;REQ006
143;true;false;true;true;4;REQ005
162;false;false;true;false;2;REQ003
188;true;false;true;false;4;REQ005
231;true;false;false;false;4;REQ005
275;true;false;true;false;4;REQ005
297;true;false;false;false;4;REQ005
313;true;false;false;false;4;REQ005
332;true;true;false;false;4;REQ006
370;true;false;false;true;4;REQ005
420;true;true;true;true;4;REQ006
445;true;false;true;true;4;REQ005
488;true;false;true;true;4;REQ005
517;false;true;false;false;5;REQ007
541;true;true;true;false;5;REQ008
567;false;false;true;false;2;REQ003
589;false;false;false;true;1;REQ002
611;true;true;false;true;1;
631;true;true;false;true;1;
678;false;true;false;false;5;REQ007
716;false;false;false;true;1;REQ002
759;true;false;true;true;4;REQ005
778;true;true;false;true;4;REQ006
