TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
306;1;0;81;0;0;REQ012REQ004
598;1;1;81;1;1;REQ013REQ002
833;1;2;81;3;3;REQ014REQ003
1169;0;0;81;3;3;REQ003
1469;0;1;79;2;1;REQ010REQ001
1772;1;0;79;2;0;REQ012
2101;1;0;80;2;0;
2323;1;1;79;2;1;REQ013
2568;1;2;79;2;3;REQ014
2871;0;1;81;1;1;REQ003REQ010REQ002
3209;1;1;80;2;0;REQ012REQ001
3535;1;2;81;3;3;REQ009REQ014REQ003
3775;1;1;80;2;1;REQ013REQ001
4000;0;1;80;2;1;
4329;1;0;79;2;0;REQ012
4589;0;1;79;2;1;REQ010
4899;1;2;79;2;0;REQ012
5211;0;1;80;2;1;REQ010
5475;0;2;81;3;3;REQ011REQ003
5731;0;1;79;2;1;REQ010REQ001
5961;0;1;79;2;1;
6194;0;2;79;2;3;REQ011
6437;0;0;81;3;3;REQ003
6773;1;2;80;2;0;REQ012REQ001
7067;1;1;81;1;1;REQ013REQ002
