TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;true;true;0;0;REQ001
5;true;false;0;0;
8;true;true;0;0;
11;false;false;0;0;
13;true;false;3;0;REQ002
15;true;true;3;0;
17;true;false;3;0;
20;true;true;3;0;
22;true;false;3;0;
24;false;true;0;1;REQ004REQ001
26;false;false;0;1;
28;false;false;0;1;
30;false;false;0;1;
33;false;true;0;1;
36;true;true;0;1;
38;false;false;0;1;
40;true;true;0;1;
43;false;false;0;1;
46;false;false;0;1;
49;false;true;0;1;
51;true;true;0;1;
54;false;false;0;1;
56;true;false;2;1;REQ003
59;true;true;2;1;
62;true;false;2;1;
65;true;true;2;1;
68;true;false;2;1;
70;true;true;2;1;
73;true;true;2;1;
75;true;true;2;1;
77;true;false;2;1;
80;false;false;2;1;
