TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
265;0;1;79;2;1;REQ010
588;0;0;80;2;1;
808;0;1;80;2;1;REQ010
1113;1;0;80;2;0;REQ012
1361;0;0;80;2;0;
1582;0;1;79;2;1;REQ010
1891;0;2;81;3;3;REQ011REQ003
2185;1;2;80;2;0;REQ001REQ012
2421;1;2;81;0;0;REQ009REQ004
2726;1;2;81;0;0;REQ004
3010;0;1;81;1;1;REQ010REQ002
3326;1;0;81;0;0;REQ012REQ004
3575;1;0;80;2;0;REQ001
3858;1;2;81;3;3;REQ009REQ014REQ003
4086;0;1;81;1;1;REQ003REQ010REQ002
4381;0;1;81;1;1;REQ002
4650;1;0;81;0;0;REQ012REQ004
4932;1;1;79;2;1;REQ001REQ013
5199;0;0;81;1;1;REQ002
5540;0;2;81;3;3;REQ002REQ011REQ003
5814;0;2;79;2;3;REQ001
6114;0;0;79;2;3;
6430;1;0;80;2;0;REQ012
6685;1;0;79;2;0;
7009;1;0;79;2;0;
