TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
249;1;2;80;2;0;REQ012
522;0;1;80;2;1;REQ010
826;1;0;81;0;0;REQ007REQ012REQ004
1054;0;2;81;3;3;REQ011REQ003
1369;0;1;79;2;1;REQ010REQ001
1593;0;0;79;2;1;
1828;0;0;81;1;1;REQ002
2100;1;1;79;2;0;REQ012REQ001
2371;0;1;81;1;1;REQ016REQ002
2643;1;0;79;2;0;REQ001REQ012
2873;1;1;79;2;1;REQ013
3104;1;1;80;2;1;
3352;1;0;81;0;0;REQ007REQ002REQ015REQ004
3631;1;1;80;2;1;REQ001REQ013
3943;1;2;80;2;3;REQ014
4217;0;2;81;3;3;REQ008REQ003
4477;1;2;80;2;0;REQ001REQ012
4752;1;1;80;2;1;REQ013
5042;1;0;81;0;0;REQ007REQ015REQ004
5282;0;1;79;2;1;REQ010REQ001
5538;1;0;79;2;0;REQ012
5797;1;0;80;2;0;
6029;1;2;79;2;3;REQ014
6321;1;0;81;0;0;REQ008REQ003REQ015REQ004
6543;1;0;81;0;0;REQ004
