TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
17;true;true;true;false;3;
35;true;true;false;false;3;
61;true;true;true;false;3;
87;true;true;true;false;3;
137;false;true;true;false;5;REQ007
148;false;true;false;true;5;REQ007
183;true;false;false;false;4;REQ005
223;true;true;false;true;4;REQ006
249;true;false;false;true;4;REQ005
263;true;true;false;true;4;REQ006
282;true;false;true;false;4;REQ005
303;false;false;false;false;3;REQ004
349;true;false;true;false;4;REQ005
363;false;false;false;true;1;REQ002
396;false;true;false;false;5;REQ007
413;true;false;false;false;4;REQ005
456;false;false;false;false;3;REQ004
471;false;false;true;true;0;REQ001
517;false;false;true;false;2;REQ003
532;true;false;true;true;4;REQ005
546;true;false;false;false;4;REQ005
569;true;false;false;false;4;REQ005
617;true;true;false;false;4;REQ006
648;false;false;false;false;3;REQ004
677;true;false;false;true;4;REQ005
