TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
25;true;8;true;on ;low ;false;
46;false;5;false;on ;low ;false;
62;false;8;true;on ;low ;false;
83;true;9;false;off ;permitted ;true;REQ005REQ001REQ011
93;true;10;true;off ;high ;false;REQ002REQ008
122;false;1;true;on ;low ;false;REQ004REQ003REQ010
168;false;8;false;on ;low ;false;
208;false;10;true;off ;high ;false;REQ001REQ002REQ011
217;true;4;true;on ;low ;false;REQ004REQ003REQ010
261;true;4;true;on ;low ;false;
291;false;5;false;on ;low ;false;
329;true;10;false;off ;high ;false;REQ001REQ005REQ002REQ007REQ011
359;false;2;true;on ;low ;false;REQ004REQ003REQ010
380;true;7;false;off ;low ;true;REQ005REQ009
393;false;3;false;off ;low ;true;
417;false;5;true;on ;low ;false;REQ006REQ010
431;false;9;false;off ;permitted ;false;REQ001REQ011
456;true;10;false;off ;high ;false;REQ002
506;true;3;true;on ;low ;false;REQ004REQ003REQ010
534;false;2;false;on ;low ;false;
560;true;11;true;off ;high ;false;REQ001REQ011REQ002
579;true;11;false;off ;high ;false;
590;false;6;true;on ;low ;false;REQ004REQ003REQ010
633;true;5;true;on ;low ;false;
651;true;8;true;on ;low ;false;
683;false;5;false;on ;low ;false;
733;false;7;true;on ;low ;false;
776;false;7;true;on ;low ;false;
806;true;5;false;off ;low ;true;REQ005REQ009
818;true;11;false;off ;high ;false;REQ001REQ002REQ007
841;false;1;true;on ;low ;false;REQ004REQ003REQ010
867;true;3;false;off ;low ;true;REQ005REQ009
911;false;7;false;off ;low ;true;
927;true;2;false;off ;low ;true;
957;true;2;false;off ;low ;true;
1003;true;10;true;off ;high ;false;REQ006REQ001REQ002
