TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
246;1;0;79;2;0;REQ012
558;0;0;81;0;0;REQ004
791;1;0;81;0;0;REQ012
1129;0;1;80;2;1;REQ010REQ001
1366;1;2;79;2;0;REQ012
1600;0;1;80;2;1;REQ010
1910;1;1;81;0;0;REQ012REQ004
2194;0;0;79;2;0;REQ001
2478;0;2;79;2;3;REQ011
2748;1;0;80;2;0;REQ012
2971;1;2;81;3;3;REQ004REQ014REQ003
3221;1;0;81;0;0;REQ015REQ004
3473;1;0;81;0;0;REQ004
3785;1;1;80;2;1;REQ001REQ013
4011;0;2;80;2;3;REQ011
4274;0;2;80;2;3;
4512;0;2;80;2;3;
4788;1;2;81;0;0;REQ008REQ003REQ012REQ004
5097;0;0;79;2;0;REQ001
5424;0;0;81;0;0;REQ009REQ004
5747;1;1;79;2;0;REQ001REQ012
6044;1;0;79;2;0;
6313;0;2;80;2;3;REQ011
6633;1;2;80;2;0;REQ012
6962;0;0;79;2;0;
