TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
20;false;7;false;on ;low ;false;
34;false;6;true;on ;low ;false;
64;true;10;false;off ;high ;false;REQ005REQ009REQ001REQ002REQ007
108;true;6;true;on ;low ;false;REQ004REQ003REQ010
155;true;0;true;on ;low ;false;
205;false;3;false;on ;low ;false;
235;true;3;false;off ;low ;true;REQ005REQ009
261;true;1;false;off ;low ;true;
280;true;5;false;off ;low ;true;
317;true;7;false;off ;low ;true;
328;true;1;true;on ;low ;false;REQ006REQ010
359;false;8;false;on ;low ;false;
401;false;4;true;on ;low ;false;
423;false;10;false;off ;high ;false;REQ001REQ002REQ011
470;false;9;true;off ;permitted ;false;REQ004
484;true;1;true;on ;low ;false;REQ003REQ010
521;true;0;false;on ;low ;false;
553;false;1;true;on ;low ;false;
572;true;5;true;on ;low ;false;
618;false;10;true;off ;high ;false;REQ001REQ002REQ011
630;true;2;true;on ;low ;false;REQ004REQ003REQ010
659;false;11;false;off ;high ;false;REQ001REQ011REQ002
673;true;9;false;off ;permitted ;true;REQ004REQ005
718;false;9;true;off ;permitted ;false;REQ006
732;false;6;true;on ;low ;false;REQ003REQ010
757;true;1;true;on ;low ;false;
807;false;9;false;off ;permitted ;false;REQ001REQ011
855;true;2;false;off ;low ;true;REQ003REQ005
880;false;6;false;off ;low ;true;
901;false;3;true;on ;low ;false;REQ006REQ010
945;true;2;false;off ;low ;true;REQ005REQ009
986;true;4;true;on ;low ;false;REQ006REQ010
1002;false;8;false;on ;low ;false;
1051;true;3;false;off ;low ;true;REQ005REQ009
1084;true;5;false;off ;low ;true;
1119;false;5;true;on ;low ;false;REQ006REQ010
