TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
220;1;2;79;2;0;REQ012
544;0;2;79;2;3;REQ017
818;0;2;81;3;3;REQ008REQ003
1103;1;1;79;2;0;REQ012REQ001
1340;0;1;81;1;1;REQ016REQ002
1658;0;1;79;2;1;REQ001
1970;0;1;79;2;1;
2303;0;2;80;2;3;REQ011
2605;1;2;81;0;0;REQ012REQ004
2877;1;0;79;2;0;REQ001
3178;1;2;80;2;3;REQ014
3483;0;1;81;1;1;REQ010REQ002
3734;0;2;79;2;3;REQ001REQ011
3999;1;2;79;2;0;REQ012
4219;0;2;81;3;3;REQ017REQ003
4474;1;0;79;2;0;REQ012REQ001
4752;1;0;79;2;0;
5003;1;0;81;0;0;REQ009REQ004
5246;1;0;81;0;0;REQ004
5521;1;2;79;2;3;REQ001REQ014
5824;0;2;81;3;3;REQ008REQ003
6089;1;0;80;2;0;REQ001REQ012
6376;1;2;79;2;3;REQ014
6654;1;1;79;2;1;REQ013
6889;0;2;81;3;3;REQ007REQ002REQ011REQ003
