TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
40;false;false;false;false;3;REQ004
63;false;false;true;true;0;REQ001
92;true;false;false;false;4;REQ005
103;false;true;false;false;5;REQ007
147;false;true;false;true;5;REQ007
191;true;false;false;true;4;REQ005
205;true;false;true;true;4;REQ005
219;false;true;true;true;5;REQ007
236;true;false;false;false;4;REQ005
260;false;true;true;true;5;REQ007
297;true;false;true;true;4;REQ005
306;true;true;false;false;4;REQ006
342;false;true;true;false;5;REQ007
353;true;false;true;false;4;REQ005
389;true;true;false;true;4;REQ006
416;true;true;false;false;4;
448;false;true;true;true;5;REQ007
491;false;true;true;true;5;REQ007
534;true;false;false;false;4;REQ005
576;false;false;false;false;3;REQ004
586;false;false;false;true;1;REQ002
608;false;false;true;false;2;REQ003
620;true;true;false;true;2;
643;true;true;false;true;2;
661;true;false;true;false;4;REQ005
