TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;true;0;0;REQ001
5;true;false;0;0;
7;true;false;0;0;
10;false;true;0;0;
13;true;false;0;0;
16;false;true;0;0;
19;true;true;0;0;
21;true;false;0;0;
24;false;false;0;0;
26;false;false;0;0;
29;true;false;3;0;REQ002
32;true;true;3;0;
34;false;true;3;0;
37;true;true;3;0;
40;false;false;1;1;REQ004
42;true;true;0;1;REQ001
45;false;false;0;1;
48;false;false;0;1;
50;false;false;0;1;
53;false;false;0;1;
55;true;false;3;1;REQ002
58;true;false;3;1;
61;true;false;3;1;
64;false;true;3;1;
66;false;true;1;1;REQ004
68;false;true;1;1;
70;false;false;1;1;
73;false;true;0;1;REQ001
75;false;true;0;1;
77;false;false;0;1;
80;false;true;0;1;
83;false;false;0;1;
