TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;false;1;0;
4;true;false;1;0;
6;true;true;0;0;REQ001
8;true;true;0;0;
10;true;true;0;0;
13;true;false;0;0;
15;false;true;0;0;
17;false;true;0;0;
19;true;true;0;0;
21;false;true;0;0;
23;false;true;0;0;
26;true;false;0;0;
29;true;false;0;0;
31;false;false;0;0;
33;true;true;0;0;
35;false;false;0;0;
38;true;false;2;0;REQ003
40;true;true;2;0;
43;false;true;2;0;
45;false;false;2;0;
47;false;true;2;0;
49;false;true;2;0;
52;false;false;2;0;
54;false;true;2;0;
56;true;false;2;0;
59;false;false;2;0;
62;true;false;2;0;
64;false;true;2;0;
67;false;true;2;0;
70;true;true;1;0;REQ005
72;true;true;1;0;
75;false;true;1;0;
