TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
22;false;3;true;on ;low ;false;
55;true;11;false;off ;high ;false;REQ005REQ009REQ001REQ002REQ007
104;false;0;false;on ;low ;false;REQ004REQ003REQ010
149;false;9;false;off ;permitted ;false;REQ001REQ011
165;true;5;false;off ;low ;true;REQ003REQ010REQ005REQ009
193;true;3;false;off ;low ;true;
208;true;11;true;off ;high ;false;REQ006REQ010REQ001REQ002REQ011
252;false;9;true;off ;permitted ;false;REQ004
284;false;0;false;on ;low ;false;REQ003REQ010
309;true;6;false;off ;low ;true;REQ005REQ009
346;false;6;false;off ;low ;true;
387;false;9;false;off ;permitted ;true;REQ001
399;false;9;true;off ;permitted ;false;REQ006
418;true;4;false;off ;low ;true;REQ005REQ003
452;true;8;true;on ;low ;false;REQ006REQ010
497;false;6;false;on ;low ;false;
510;true;5;false;off ;low ;true;REQ005REQ009
539;false;7;false;off ;low ;true;
576;true;5;false;off ;low ;true;
610;false;11;true;off ;high ;false;REQ001REQ002REQ008
644;false;4;false;on ;low ;false;REQ004REQ003REQ010
677;true;6;false;off ;low ;true;REQ005REQ009
722;true;1;true;on ;low ;false;REQ006REQ010
742;true;7;true;on ;low ;false;
787;true;5;false;on ;low ;false;
829;false;8;true;on ;low ;false;
852;false;6;true;on ;low ;false;
866;false;5;false;on ;low ;false;
885;false;7;true;on ;low ;false;
901;true;9;false;off ;permitted ;true;REQ005REQ009REQ001
937;true;2;false;off ;low ;true;REQ003
984;false;2;false;off ;low ;true;
1014;true;2;true;on ;low ;false;REQ006REQ010
1062;true;9;true;off ;permitted ;false;REQ001REQ011
1109;true;7;false;on ;low ;false;REQ003REQ010
1119;true;7;false;on ;low ;false;
