TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
12;false;false;true;true;0;REQ001
44;true;false;true;true;4;REQ005
57;false;false;true;false;2;REQ003
74;false;false;false;true;1;REQ002
101;true;true;true;false;1;
135;false;true;true;true;5;REQ007
183;true;true;false;false;5;REQ008
226;false;false;false;true;1;REQ002
258;true;true;false;true;1;
303;false;true;true;false;5;REQ007
349;true;false;true;false;4;REQ005
393;false;true;true;true;5;REQ007
403;true;true;true;true;5;REQ008
443;true;true;false;true;5;
487;false;false;true;false;2;REQ003
496;false;true;false;true;5;REQ007
537;true;false;false;true;4;REQ005
550;false;false;true;true;0;REQ001
564;true;true;true;false;0;
594;false;true;true;true;5;REQ007
633;true;false;false;true;4;REQ005
658;false;true;false;false;5;REQ007
679;true;false;false;false;4;REQ005
698;false;true;false;true;5;REQ007
715;false;false;true;false;2;REQ003
