TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;false;1;0;
5;false;false;1;0;
8;false;false;1;0;
10;true;true;0;0;REQ001
13;false;false;0;0;
16;true;true;0;0;
18;false;false;0;0;
20;true;true;0;0;
23;true;false;0;0;
26;false;false;0;0;
29;true;false;3;0;REQ002
32;false;false;3;0;
34;true;false;3;0;
36;true;true;3;0;
38;false;false;3;0;
40;true;false;1;1;REQ004
42;true;false;1;1;
44;false;false;1;1;
46;true;true;0;1;REQ001
49;false;true;0;1;
52;false;false;0;1;
54;true;false;3;1;REQ002
57;true;true;3;1;
59;true;false;3;1;
62;false;false;3;1;
65;true;true;0;1;REQ004REQ001
67;false;true;0;1;
69;false;false;0;1;
71;true;false;3;1;REQ002
74;true;false;3;1;
77;false;true;3;1;
79;false;false;3;1;
