TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
31;false;false;true;true;0;REQ001
52;false;true;true;false;5;REQ007
102;true;false;false;true;4;REQ005
146;false;false;true;false;2;REQ003
160;false;true;true;true;5;REQ007
198;true;false;true;false;4;REQ005
213;false;true;true;false;5;REQ007
229;false;true;false;true;5;REQ007
242;true;false;false;true;4;REQ005
288;true;false;false;false;4;REQ005
334;false;true;false;true;5;REQ007
383;false;false;false;false;3;REQ004
414;true;false;false;false;4;REQ005
451;true;true;false;false;4;REQ006
476;true;false;false;false;4;REQ005
500;true;true;true;false;4;REQ006
527;true;false;false;true;4;REQ005
544;true;false;true;false;4;REQ005
563;false;false;true;true;0;REQ001
574;false;true;false;true;5;REQ007
608;true;true;false;false;5;REQ008
635;true;false;true;false;4;REQ005
677;true;false;true;false;4;REQ005
715;false;false;true;true;0;REQ001
763;true;true;true;true;0;
