TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
250;0;2;79;2;3;REQ011
528;0;0;79;2;3;
814;0;2;81;3;3;REQ008REQ003REQ011
1123;0;2;79;2;3;REQ001
1402;1;2;80;2;0;REQ012
1702;0;0;80;2;0;
1973;1;0;81;0;0;REQ012REQ004
2312;0;2;79;2;3;REQ011REQ001
2543;1;1;79;2;0;REQ012
2791;0;0;80;2;0;
3076;1;2;80;2;0;REQ012
3348;1;1;79;2;1;REQ013
3595;1;1;80;2;1;
3893;0;0;80;2;1;
4116;1;0;79;2;0;REQ012
4340;1;1;80;2;1;REQ013
4650;0;2;81;3;3;REQ011REQ003
4870;1;2;81;0;0;REQ012REQ004
5127;0;0;80;2;0;REQ001
5371;1;1;80;2;0;REQ012
5660;0;2;80;2;3;REQ011
5943;1;1;81;0;0;REQ008REQ012REQ004
6174;0;0;80;2;0;REQ001
6432;1;0;81;0;0;REQ004REQ012
6737;1;2;80;2;3;REQ014REQ001
