TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
35;true;true;false;true;3;
49;false;true;true;true;5;REQ007
91;false;true;true;false;5;REQ007
123;false;false;true;false;2;REQ003
140;false;false;true;true;0;REQ001
171;false;false;true;false;2;REQ003
191;true;false;false;true;4;REQ005
231;false;true;false;false;5;REQ007
253;false;false;true;true;0;REQ001
289;false;false;true;false;2;REQ003
315;true;false;true;false;4;REQ005
360;false;false;false;true;1;REQ002
405;true;false;true;true;4;REQ005
452;true;true;true;false;4;REQ006
463;false;false;false;false;3;REQ004
503;true;false;true;false;4;REQ005
517;true;true;false;true;4;REQ006
550;true;true;false;false;4;
583;true;false;false;true;4;REQ005
602;false;false;true;true;0;REQ001
628;true;false;true;true;4;REQ005
646;true;false;true;false;4;REQ005
681;false;false;true;true;0;REQ001
695;true;true;false;true;0;
728;true;false;false;false;4;REQ005
