TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
233;0;0;80;2;2;
574;1;1;79;2;0;REQ012
858;0;2;80;2;3;REQ011
1107;0;1;81;1;1;REQ010REQ002
1352;0;0;79;2;1;REQ001
1605;1;1;80;2;0;REQ012
1913;0;0;80;2;0;
2182;1;0;79;2;0;REQ012
2511;0;1;81;1;1;REQ009REQ004REQ010REQ002
2813;1;1;80;2;0;REQ001REQ012
3106;0;1;80;2;1;REQ016
3411;0;0;80;2;1;
3696;0;1;79;2;1;REQ010
3985;1;1;79;2;0;REQ012
4250;1;1;81;0;0;REQ009REQ004
4512;1;1;79;2;0;REQ001
4741;1;0;81;0;0;REQ004
4962;0;0;81;0;0;REQ004
5220;1;0;81;0;0;REQ004REQ012
5543;0;1;81;1;1;REQ010REQ002
5875;0;0;80;2;1;REQ001
6169;1;2;81;0;0;REQ012REQ004
6399;1;1;81;1;1;REQ013REQ002
6641;1;0;80;2;0;REQ015REQ001
6899;0;2;81;3;3;REQ009REQ004REQ011REQ003
