TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
3;false;false;1;0;
6;true;false;1;0;
9;false;true;0;0;REQ001
11;false;false;0;0;
14;false;true;0;0;
17;false;true;0;0;
20;false;false;0;0;
23;false;true;0;0;
26;true;true;0;0;
29;true;false;0;0;
32;false;false;0;0;
35;false;true;0;0;
38;false;false;0;0;
41;true;false;2;0;REQ003
43;true;false;2;0;
45;false;true;2;0;
48;true;false;2;0;
50;false;true;2;0;
53;true;true;2;0;
55;false;true;2;0;
57;true;false;2;0;
60;false;true;2;0;
63;true;false;2;0;
65;true;true;2;0;
67;false;true;2;0;
69;false;false;2;0;
71;false;true;0;0;REQ005REQ001
73;false;true;0;0;
75;false;true;0;0;
77;false;true;0;0;
80;true;false;0;0;
83;true;false;0;0;
