TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
51;false;3;true;on ;low ;false;
83;true;3;true;on ;low ;false;
97;true;11;false;off ;high ;false;REQ001REQ002REQ011
127;false;8;true;on ;low ;false;REQ004REQ003REQ010
156;false;1;false;on ;low ;false;
166;true;10;true;off ;high ;false;REQ001REQ011REQ002
187;false;11;true;off ;high ;false;
197;true;10;true;off ;high ;false;
207;true;2;false;on ;low ;false;REQ004REQ003REQ010
231;false;7;true;on ;low ;false;
269;true;1;true;on ;low ;false;
311;true;10;true;off ;high ;false;REQ001REQ011REQ002
328;false;7;true;on ;low ;false;REQ004REQ003REQ010
341;true;2;false;off ;low ;true;REQ005REQ009
388;true;1;true;on ;low ;false;REQ006REQ010
431;true;2;false;on ;low ;false;
463;false;7;true;on ;low ;false;
510;false;0;true;on ;low ;false;
520;false;7;false;on ;low ;false;
556;true;3;true;on ;low ;false;
590;true;2;false;on ;low ;false;
602;true;1;true;on ;low ;false;
651;true;9;true;off ;permitted ;false;REQ001REQ011
701;false;7;false;on ;low ;false;REQ003REQ010
739;false;0;true;on ;low ;false;
776;true;2;false;off ;low ;true;REQ005REQ009
813;true;2;false;off ;low ;true;
855;false;4;false;off ;low ;true;
903;true;6;true;on ;low ;false;REQ006REQ010
929;false;0;false;on ;low ;false;
980;false;7;true;on ;low ;false;
1000;false;4;true;on ;low ;false;
1034;true;10;true;off ;high ;false;REQ001REQ011REQ002
1078;true;6;false;on ;low ;false;REQ004REQ003REQ010
1103;false;9;true;off ;permitted ;false;REQ001REQ011
1153;false;11;true;off ;high ;false;REQ002
