TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
41;false;false;false;true;1;REQ002
88;true;true;true;false;1;
137;false;false;false;false;3;REQ004
184;true;true;false;true;3;
207;true;false;false;true;4;REQ005
246;false;false;false;true;1;REQ002
258;false;true;true;false;5;REQ007
284;false;true;true;true;5;REQ007
326;false;false;false;true;1;REQ002
342;false;true;false;true;5;REQ007
372;true;false;false;false;4;REQ005
393;false;true;true;true;5;REQ007
406;false;false;false;true;1;REQ002
426;true;false;false;true;4;REQ005
475;true;false;false;false;4;REQ005
491;true;false;false;true;4;REQ005
541;true;false;false;true;4;REQ005
571;false;false;false;true;1;REQ002
607;false;false;true;true;0;REQ001
628;true;true;true;true;0;
655;false;false;true;true;0;REQ001
705;true;true;false;true;0;
751;false;true;true;true;5;REQ007
783;true;false;true;false;4;REQ005
831;true;false;true;false;4;REQ005
