TIME;I:the_left_priority_button;I:the_right_priority_button;I:the_left_command;I:the_right_command;O:the_output;
0;false;false;false;false;3;REQ004
13;false;false;false;false;3;REQ004
58;true;false;true;true;4;REQ005
90;true;true;false;true;4;REQ006
123;false;true;false;false;5;REQ007
132;true;false;true;false;4;REQ005
150;false;false;true;true;0;REQ001
185;true;true;true;false;0;
210;true;false;false;false;4;REQ005
223;false;false;false;true;1;REQ002
252;false;true;false;false;5;REQ007
303;true;true;true;false;5;REQ008
332;true;true;false;false;5;
345;true;true;false;false;5;
396;true;false;false;false;4;REQ005
426;false;false;true;true;0;REQ001
447;false;true;false;true;5;REQ007
491;true;true;false;true;5;REQ008
509;true;true;true;false;5;
543;true;true;false;false;5;
559;true;true;false;true;5;
570;false;false;false;true;1;REQ002
592;false;false;true;true;0;REQ001
616;true;true;true;false;0;
643;false;true;false;false;5;REQ007
679;true;true;true;true;5;REQ008
