TIME;I:the_blockage_button;I:the_water_pressure;I:the_reset_button;O:the_safety_injection_mode;O:the_pressure_mode;O:the_overridden_mode;
0;false;0;false;on ;low ;false;
50;true;6;false;off ;low ;true;REQ005REQ009
71;true;3;true;on ;low ;false;REQ006REQ010
83;false;1;true;on ;low ;false;
131;true;4;true;on ;low ;false;
148;true;0;true;on ;low ;false;
184;false;6;true;on ;low ;false;
219;false;7;false;on ;low ;false;
262;false;0;true;on ;low ;false;
276;false;2;true;on ;low ;false;
296;true;6;false;off ;low ;true;REQ005REQ009
324;true;10;true;off ;high ;false;REQ001REQ002REQ007
353;true;7;true;on ;low ;false;REQ004REQ003REQ010
367;false;7;true;on ;low ;false;
379;true;5;false;off ;low ;true;REQ005REQ009
408;true;9;false;off ;permitted ;true;REQ001
458;true;8;false;off ;low ;true;REQ003
484;true;2;true;on ;low ;false;REQ006REQ010
533;false;2;false;on ;low ;false;
573;false;8;false;on ;low ;false;
585;false;1;true;on ;low ;false;
608;true;6;true;on ;low ;false;
643;false;6;false;on ;low ;false;
653;true;9;true;off ;permitted ;false;REQ001REQ011
687;true;5;false;on ;low ;false;REQ003REQ010
735;true;10;false;off ;high ;false;REQ001REQ011REQ002
751;true;10;true;off ;high ;false;
765;true;1;true;on ;low ;false;REQ004REQ003REQ010
791;true;8;false;on ;low ;false;
809;false;6;true;on ;low ;false;
851;true;0;false;off ;low ;true;REQ005REQ009
862;true;7;true;on ;low ;false;REQ006REQ010
913;true;3;false;on ;low ;false;
932;true;6;true;on ;low ;false;
948;true;11;false;off ;high ;false;REQ001REQ002REQ011
982;false;5;false;on ;low ;false;REQ004REQ003REQ010
1020;true;10;false;off ;high ;false;REQ005REQ009REQ001REQ002REQ008
