TIME;I:the_emergency_flashing;I:the_turn_indicator_lever;I:the_voltage;O:the_indication_lights;O:the_flashing_mode;
0;0;0;79;2;2;
226;0;2;80;2;3;REQ011
559;1;0;80;2;0;REQ012
875;1;2;81;3;3;REQ004REQ014REQ003
1204;1;2;81;3;3;REQ003
1533;1;2;79;2;3;REQ001
1781;0;1;80;2;1;REQ010
2010;0;0;79;2;1;
2275;0;2;79;2;3;REQ011
2615;1;2;80;2;0;REQ012
2940;0;2;79;2;3;REQ017
3180;1;1;81;0;0;REQ012REQ004
3417;1;2;80;2;3;REQ014REQ001
3713;0;2;80;2;3;
4009;1;0;80;2;0;REQ012
4336;0;2;81;3;3;REQ009REQ004REQ011REQ003
4616;1;0;80;2;0;REQ012REQ001
4933;0;1;80;2;1;REQ010
5215;1;0;81;0;0;REQ012REQ004
5438;1;2;81;3;3;REQ004REQ014REQ003
5750;0;2;79;2;3;REQ001
6055;0;2;80;2;3;
6355;0;2;79;2;3;
6686;1;1;80;2;0;REQ012
6909;0;1;79;2;1;REQ016
7228;0;0;79;2;1;
