TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;false;false;1;0;
5;false;true;0;0;REQ001
7;true;false;0;0;
10;false;false;0;0;
13;false;false;0;0;
15;false;false;0;0;
17;true;true;0;0;
19;false;false;0;0;
22;true;false;3;0;REQ002
25;false;true;3;0;
27;false;false;3;0;
30;true;true;3;0;
33;false;false;1;1;REQ004
36;true;true;0;1;REQ001
38;true;true;0;1;
41;false;false;0;1;
43;true;true;0;1;
45;true;false;0;1;
48;true;false;0;1;
50;true;true;0;1;
52;false;false;0;1;
54;true;true;0;1;
57;true;false;0;1;
59;false;false;0;1;
62;false;false;0;1;
64;false;true;0;1;
67;true;true;0;1;
70;false;true;0;1;
73;true;true;0;1;
75;true;true;0;1;
78;true;true;0;1;
80;false;true;0;1;
