TIME;I:the_coffee_request_button;I:the_coin_sensor;O:the_system_mode;O:the_coffee_machine_output;
0;false;false;1;0;
2;true;false;1;0;
5;true;false;1;0;
7;true;false;1;0;
10;false;true;0;0;REQ001
12;false;false;0;0;
14;false;false;0;0;
16;true;true;0;0;
19;true;false;0;0;
21;false;false;0;0;
23;true;false;3;0;REQ002
26;false;true;3;0;
28;true;false;3;0;
31;false;true;3;0;
33;true;false;1;1;REQ004
36;false;true;0;1;REQ001
39;false;false;0;1;
42;false;true;0;1;
45;false;true;0;1;
47;false;true;0;1;
49;false;true;0;1;
52;true;true;0;1;
55;false;false;0;1;
57;true;false;3;1;REQ002
60;true;true;3;1;
62;false;true;3;1;
65;true;true;3;1;
67;false;false;1;1;REQ004
70;true;false;1;1;
73;false;true;0;1;REQ001
76;false;false;0;1;
78;false;false;0;1;
81;true;true;0;1;
